Tags,Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,60161610,05/15/2025 17:31,05/16/2025 05:38,AUDUSD,Sell,0.030,1.07099,0.00000,0.64020,0.64139,-0.0700,-0.0700,-11.9,-3.71,-0.12,"",11,00:12:06:46,,,,,,,,,,,,
,60152774,05/15/2025 08:34,05/16/2025 02:50,NZDUSD,Sell,0.030,0.98403,0.00000,0.58864,0.58733,-0.0600,-0.0500,13.1,3.82,0.12,"",11,00:18:15:32,,,,,,,,,,,,
,60160056,05/15/2025 16:27,05/15/2025 23:00,AUDNZD,Buy,0.030,0.36501,0.00000,1.09101,1.09014,-0.0700,0.0000,-8.7,-1.60,-0.05,"",11,00:06:32:38,,,,,,,,,,,,
,60160055,05/15/2025 16:27,05/15/2025 23:00,AUDNZD,Buy,0.030,0.36501,0.00000,1.09101,1.09014,-0.0700,0.0000,-8.7,-1.60,-0.05,"",11,00:06:32:37,,,,,,,,,,,,
,60153783,05/15/2025 09:46,05/15/2025 21:45,GBPCAD,Buy,0.030,0.62050,0.00000,1.85783,1.85724,-0.1400,0.0000,-5.9,-1.40,-0.04,"",11,00:11:58:14,,,,,,,,,,,,
,60152221,05/15/2025 07:17,05/15/2025 15:30,USDHKD,Buy,0.030,2.60726,0.00000,7.80937,7.80691,-0.1100,0.0000,-24.6,-1.06,-0.03,"",11,00:08:12:16,,,,,,,,,,,,
,60152380,05/15/2025 07:48,05/15/2025 12:30,CHFJPY,Sell,0.030,290.47700,0.00000,173.87900,174.12000,-0.1300,0.0000,-24.1,-5.08,-0.16,"",11,00:04:41:44,,,,,,,,,,,,
,60152283,05/15/2025 07:30,05/15/2025 10:30,AUDNZD,Buy,0.030,0.36528,0.00000,1.09137,1.08967,-0.0700,0.0000,-17.0,-3.08,-0.10,"",11,00:02:59:22,,,,,,,,,,,,
,60152282,05/15/2025 07:30,05/15/2025 10:30,AUDNZD,Buy,0.030,0.36528,0.00000,1.09137,1.08967,-0.0700,0.0000,-17.0,-3.08,-0.10,"",11,00:02:59:22,,,,,,,,,,,,
,60143157,05/14/2025 17:04,05/15/2025 03:40,EURCHF,Buy,0.030,0.31582,0.00000,0.94058,0.94021,-0.1200,0.3400,-3.7,-1.10,-0.04,"",11,00:10:35:13,,,,,,,,,,,,
,60143845,05/14/2025 17:30,05/15/2025 01:00,USDHKD,Buy,0.030,2.61075,0.00000,7.80563,7.80286,-0.1100,-0.2600,-27.7,-1.43,-0.05,"",11,00:07:29:22,,,,,,,,,,,,
,60137827,05/14/2025 12:14,05/14/2025 21:00,GBPCAD,Buy,0.030,0.62484,0.00000,1.85709,1.85495,-0.1400,0.0000,-21.4,-4.74,-0.15,"",11,00:08:46:24,,,,,,,,,,,,
,60111881,05/13/2025 10:24,05/14/2025 08:15,AUDCAD,Buy,0.030,0.30033,0.00000,0.89681,0.90178,-0.0700,-0.0100,49.7,10.63,0.34,"",11,00:21:50:59,,,,,,,,,,,,
,60117377,05/13/2025 15:09,05/14/2025 06:30,GBPCAD,Buy,0.030,0.61992,0.00000,1.84984,1.85196,-0.1400,0.0300,21.2,4.46,0.14,"",11,00:15:20:50,,,,,,,,,,,,
,60118374,05/13/2025 15:34,05/14/2025 05:15,GBPJPY,Buy,0.030,66.11500,0.00000,195.93700,195.78400,-0.1400,0.2800,-15.3,-2.98,-0.10,"",11,00:13:40:40,,,,,,,,,,,,
,60111115,05/13/2025 09:45,05/14/2025 05:15,AUDJPY,Buy,0.030,32.06000,0.00000,94.87300,95.36200,-0.0700,0.1300,48.9,10.03,0.32,"",11,00:19:29:16,,,,,,,,,,,,
,60119325,05/13/2025 15:57,05/14/2025 05:00,EURJPY,Buy,0.030,55.24000,0.00000,164.75500,164.69600,-0.1200,0.1300,-5.9,-1.20,-0.04,"",11,00:13:02:12,,,,,,,,,,,,
,60113128,05/13/2025 11:49,05/14/2025 01:31,USDHKD,Buy,0.030,2.60689,0.00000,7.79671,7.79558,-0.1100,-0.0900,-11.3,-0.63,-0.02,"",11,00:13:42:13,,,,,,,,,,,,
,60111222,05/13/2025 09:51,05/14/2025 01:30,NZDJPY,Buy,0.030,29.39200,0.00000,87.21100,87.50100,-0.0600,0.1100,29.0,5.95,0.19,"",11,00:15:39:01,,,,,,,,,,,,
,60112542,05/13/2025 11:00,05/13/2025 18:00,CHFJPY,Buy,0.030,59.01500,0.00000,175.92000,175.67300,-0.1300,0.0000,-24.7,-5.14,-0.17,"",11,00:07:00:00,,,,,,,,,,,,
,60109881,05/13/2025 07:33,05/13/2025 12:15,AUDNZD,Buy,0.030,0.36470,0.00000,1.08919,1.08754,-0.0700,0.0000,-16.5,-2.99,-0.10,"",11,00:04:41:14,,,,,,,,,,,,
,60109880,05/13/2025 07:33,05/13/2025 12:15,AUDNZD,Buy,0.030,0.36470,0.00000,1.08919,1.08754,-0.0700,0.0000,-16.5,-2.99,-0.10,"",11,00:04:41:14,,,,,,,,,,,,
,60087744,05/12/2025 10:00,05/13/2025 04:30,CADJPY,Buy,0.030,35.46200,0.00000,105.12300,105.76800,-0.0800,0.0700,64.5,13.07,0.42,"",11,00:18:29:44,,,,,,,,,,,,
,60087682,05/12/2025 10:00,05/13/2025 04:15,USDCHF,Buy,0.030,0.28129,0.00000,0.83575,0.84382,-0.1100,0.2100,80.7,28.79,0.93,"",11,00:18:14:51,,,,,,,,,,,,
,60087197,05/12/2025 09:28,05/13/2025 03:45,EURJPY,Buy,0.030,54.95100,0.00000,163.99100,164.23100,-0.1200,0.1300,24.0,4.87,0.16,"",11,00:18:16:19,,,,,,,,,,,,
,60087421,05/12/2025 09:44,05/13/2025 03:45,USDJPY,Buy,0.030,49.15300,0.00000,146.16100,147.91100,-0.1100,0.2200,175.0,35.60,1.17,"",11,00:18:00:21,,,,,,,,,,,,
,60086995,05/12/2025 09:05,05/13/2025 03:20,GBPJPY,Buy,0.030,65.39400,0.00000,194.01600,195.17400,-0.1400,0.2800,115.8,23.60,0.78,"",11,00:18:14:04,,,,,,,,,,,,
,60086268,05/12/2025 07:16,05/12/2025 23:00,USDHKD,Buy,0.030,2.60676,0.00000,7.78963,7.79131,-0.1100,0.0000,16.8,0.54,0.02,"",11,00:15:43:15,,,,,,,,,,,,
,60086626,05/12/2025 08:30,05/12/2025 22:30,CHFJPY,Buy,0.030,58.36300,0.00000,175.09300,175.48800,-0.1300,0.0000,39.5,7.86,0.26,"",11,00:13:59:33,,,,,,,,,,,,
,60086771,05/12/2025 08:50,05/12/2025 20:00,NZDJPY,Buy,0.030,29.40700,0.00000,86.62900,86.93300,-0.0600,0.0000,30.4,6.08,0.20,"",11,00:11:09:45,,,,,,,,,,,,
,60086495,05/12/2025 08:05,05/12/2025 19:30,AUDJPY,Buy,0.030,31.79800,0.00000,93.88200,94.41500,-0.0700,0.0000,53.3,10.71,0.36,"",11,00:11:25:01,,,,,,,,,,,,
,60087749,05/12/2025 10:00,05/12/2025 18:25,CADCHF,Buy,0.030,0.20288,0.00000,0.60044,0.60166,-0.0800,0.0000,12.2,4.27,0.14,"",11,00:08:24:42,,,,,,,,,,,,
,60090772,05/12/2025 11:06,05/12/2025 18:00,AUDNZD,Buy,0.030,0.36560,0.00000,1.08920,1.08645,-0.0700,0.0000,-27.5,-4.91,-0.16,"",11,00:06:53:38,,,,,,,,,,,,
,60090771,05/12/2025 11:06,05/12/2025 18:00,AUDNZD,Buy,0.030,0.36571,0.00000,1.08920,1.08642,-0.0700,0.0000,-27.8,-4.97,-0.17,"",11,00:06:53:37,,,,,,,,,,,,
,60088163,05/12/2025 10:03,05/12/2025 16:00,EURCHF,Buy,0.030,0.31538,0.00000,0.93810,0.93670,-0.1200,0.0000,-14.0,-5.10,-0.17,"",11,00:05:56:30,,,,,,,,,,,,
,60086299,05/12/2025 07:30,05/12/2025 12:45,AUDCAD,Buy,0.030,0.30105,0.00000,0.89570,0.89468,-0.0700,0.0000,-10.2,-2.26,-0.08,"",11,00:05:15:01,,,,,,,,,,,,
,60076804,05/09/2025 17:12,05/12/2025 01:00,GBPCAD,Buy,0.030,0.62102,0.00000,1.85102,1.84746,-0.1400,0.0300,-35.6,-7.78,-0.26,"",11,02:07:47:55,,,,,,,,,,,,
,60072676,05/09/2025 12:08,05/12/2025 00:22,GBPNZD,Buy,0.030,0.75555,0.00000,2.25038,2.23836,-0.1400,-0.1200,-120.2,-21.60,-0.71,"",11,02:12:14:09,,,,,,,,,,,,
,60072606,05/09/2025 12:00,05/12/2025 00:20,USDHKD,Buy,0.030,2.60097,0.00000,7.77869,7.77382,-0.1100,-0.0900,-48.7,-2.08,-0.07,"",11,02:12:19:18,,,,,,,,,,,,
,60062546,05/09/2025 03:40,05/09/2025 19:15,AUDNZD,Buy,0.030,0.36297,0.00000,1.08468,1.08509,-0.0700,0.0000,4.1,0.65,0.02,"",11,00:15:34:36,,,,,,,,,,,,
,60062545,05/09/2025 03:40,05/09/2025 19:15,AUDNZD,Buy,0.030,0.36297,0.00000,1.08468,1.08510,-0.0700,0.0000,4.2,0.67,0.02,"",11,00:15:34:35,,,,,,,,,,,,
,60007710,05/08/2025 09:16,05/09/2025 07:00,USDJPY,Buy,0.030,48.65700,0.00000,144.12400,145.65800,-0.1100,0.2200,153.4,31.70,1.06,"",11,00:21:43:33,,,,,,,,,,,,
,60017702,05/08/2025 12:00,05/09/2025 05:45,CADJPY,Buy,0.030,35.27300,0.00000,104.45600,104.65400,-0.0800,0.0700,19.8,4.06,0.14,"",11,00:17:44:14,,,,,,,,,,,,
,60017958,05/08/2025 12:07,05/09/2025 05:00,EURJPY,Buy,0.030,55.18100,0.00000,163.50200,163.44000,-0.1200,0.1300,-6.2,-1.27,-0.04,"",11,00:16:53:21,,,,,,,,,,,,
,60016944,05/08/2025 11:43,05/09/2025 05:00,CHFJPY,Buy,0.030,59.32100,0.00000,175.26100,175.03600,-0.1300,-0.1400,-22.5,-4.90,-0.16,"",11,00:17:16:59,,,,,,,,,,,,
,60014910,05/08/2025 11:06,05/09/2025 04:30,GBPJPY,Buy,0.030,64.65500,0.00000,191.95800,192.80100,-0.1400,0.2900,84.3,17.50,0.59,"",11,00:17:24:24,,,,,,,,,,,,
,59994069,05/08/2025 05:15,05/09/2025 01:15,USDHKD,Buy,0.030,2.59412,0.00000,7.76493,7.77069,-0.1100,-0.0900,57.6,2.02,0.07,"",11,00:20:00:22,,,,,,,,,,,,
,60014392,05/08/2025 10:59,05/08/2025 23:15,GBPNZD,Buy,0.030,0.75747,0.00000,2.24329,2.24236,-0.1400,0.0000,-9.3,-1.79,-0.06,"",11,00:12:15:57,,,,,,,,,,,,
,60017417,05/08/2025 11:55,05/08/2025 18:00,AUDNZD,Buy,0.030,0.36261,0.00000,1.08339,1.08232,-0.0700,0.0000,-10.7,-1.97,-0.07,"",11,00:06:05:20,,,,,,,,,,,,
,60017416,05/08/2025 11:55,05/08/2025 18:00,AUDNZD,Buy,0.030,0.36263,0.00000,1.08339,1.08219,-0.0700,0.0000,-12.0,-2.20,-0.07,"",11,00:06:05:14,,,,,,,,,,,,
,59987770,05/08/2025 04:03,05/08/2025 07:45,AUDNZD,Buy,0.030,0.36251,0.00000,1.08332,1.08097,-0.0700,0.0000,-23.5,-4.28,-0.14,"",11,00:03:41:10,,,,,,,,,,,,
,59987769,05/08/2025 04:03,05/08/2025 07:45,AUDNZD,Buy,0.030,0.36247,0.00000,1.08332,1.08097,-0.0700,0.0000,-23.5,-4.28,-0.14,"",11,00:03:41:09,,,,,,,,,,,,
,59920602,05/07/2025 13:33,05/08/2025 01:30,USDHKD,Buy,0.030,2.59203,0.00000,7.75938,7.75859,-0.1100,-0.2600,-7.9,-0.68,-0.02,"",11,00:11:56:48,,,,,,,,,,,,
,59910522,05/07/2025 11:18,05/07/2025 14:15,EURCHF,Buy,0.030,0.31713,0.00000,0.93880,0.93631,-0.1200,0.0000,-24.9,-9.19,-0.31,"",11,00:02:56:14,,,,,,,,,,,,
,59794326,05/06/2025 15:50,05/07/2025 08:00,AUDCHF,Buy,0.030,0.17772,0.00000,0.53311,0.53489,-0.0700,0.1200,17.8,6.52,0.22,"",11,00:16:09:31,,,,,,,,,,,,
,59803999,05/06/2025 17:31,05/07/2025 06:15,AUDUSD,Buy,0.030,0.21709,0.00000,0.64803,0.64868,-0.0700,-0.1000,6.5,1.78,0.06,"",11,00:12:43:50,,,,,,,,,,,,
,59765293,05/06/2025 02:49,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,3000.00,0,"Deposit",0,00:00:00:00,,,,,,,,,,,,

Open Trades
Tags,Ticket,Open Date,Symbol,Action,Lots,Open Price,TP,SL,Profit,Pips,Swap
,60270849,05/22/2025 17:55,AUDCAD,Sell,0.030,0.88952,0.0,0.0,-6.79,-31.1,-0.18

